,-2226,-2225,-2224,-2223,-2222,-2221,-2220,-2219,-2218,-2217,-2216,-2215,-2214,-2213,-2212,-2211,-2210,-2209,-2208,-2207,-2206,-2205,-2204,-2203,-2202,-2201,-2200,-2199,-2198,-2197,-2196,-2195,-2194,-2193,-2192,-2191,-2190,-2189,-2188,-2187,-2186,-2185,-2184,-2183,-2182,-2181,-2180,-2179,-2178,-2177,-2176,-2175,-2174,-2173,-2172,-2171,-2170,-2169,-2168,-2167,-2166,-2165,-2164,-2163,-2162,-2161,-2160,-2159,-2158,-2157,-2156,-2155,-2154,-2153,-2152,-2151,-2150,-2149,-2148,-2147,-2146,-2145,-2144,-2143,-2142,-2141,-2140,-2139,-2138,-2137,-2136,-2135,-2134,-2133,-2132,-2131,-2130,-2129,-2128,-2127,-2126,-2125,-2124,-2123,-2122,-2121,-2120,-2119,-2118,-2117,-2116,-2115,-2114,-2113,-2112,-2111,-2110,-2109,-2108,-2107,-2106,-2105,-2104,-2103,-2102,-2101,-2100,-2099,-2098,-2097,-2096,-2095,-2094,-2093,-2092,-2091,-2090,-2089,-2088,-2087
-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe A,Safe A,Safe A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe C,Safe C,Safe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe B,Safe B,Safe B,Safe B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,,F,F,F,F,F,,,p,,,,,,,,,F,,F,F,F,F,RR,R,RR,RRR,,,,,,,F,,,,,,,,,F,RRR,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,RR,RR,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,F,,,,RR,,,,,,,,,,,F,F,,,A,RRR,,RRR,,,,,,,RR,,,F,,,,,,,,,F,RR,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,RR,,,,,,,,,,,RRR,RRR,,,,,,,,,,,,,,RR,RRR,RRR,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,
1,,,F,,,A,RRR,,,,,,,,,,F,F,F,,RR,,,,X,,,,,F,,RRR,,,F,,,,,,,,,F,RRR,RR,RRR,RR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,F,,,,RR,,,,,,,,,,F,F,F,,RR,C,RRR,,RR,,,,,F,,RR,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,RR,,,,RRR,,,,,,F,,,,F,F,F,,RR,RRR,RR,,RRR,,,,,F,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,R,,,RR,,,,,,,
4,,,RR,C,,,,,,,,,F,,,,,F,F,,,,,,RR,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,,,,,
5,,,RRR,RR,RRR,RR,RRR,,,,,,F,F,F,F,,,F,,F,F,F,F,F,,,,,,,,,,,,p,,,,p,,,,,,,,,,F,,,F,F,F,F,,F,F,F,F,,,F,F,F,F,,,,,,,,F,F,,,,RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,X,,,,,,,
6,,,,,,,,,,F,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,F,F,F,F,,,F,F,F,F,,,F,F,F,,,,F,,,,,RR,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,D,p,,,
7,,,,,,,,,,F,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,F,,,,,F,F,F,,,,,,F,,F,F,F,F,,,F,F,F,F,,,,F,,,,,,,,,,RR,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,R,,,RR,,,,,,,
8,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,RRR,RR,RRR,F,F,F,,,,,RR,,,,,RR,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,RR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,,,,,
9,,,,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RRR,,,,F,F,F,,,,,,,,,,,,,,F,F,F,F,,F,F,F,A,,,,,,,,,,,,,,,,,RRR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,p,,,,,p,,,,F,F,F,F,,F,F,F,B,RR,p,,,,,,,,,,,,F,,,RR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,
11,,,RRR,X,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,F,F,F,,,,,,,,,,,,,,,F,,,RRR,F,,,,C,,,,,,,,,,,,,,,,,,,,RRR,,,A,B,RR,,,,,,,,,,,,,,,,,,RRR,,
12,,,,,,,,,,,D,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,p,,F,F,F,F,,R,R,R,,,,,,,,,,,,,,,F,,,,F,,,RR,,RR,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,RR,,,,,,,,RR,,
13,,,,,,,,,RR,RR,D,p,,,,,,,RR,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,C,RRR,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,,,,,,,,RRR,,,,,,,,RR,RR,
14,,,,,,,,,,,,,,,,,,,RRR,,B,,,,,,,,,,,F,,,,,,,,,,,,,,RR,,,,,,,,F,F,F,F,RR,RR,,,,,,,F,F,F,,F,F,F,,,,,,,,,,,,,,,,,,,F,,,,,RR,,,,,,,,,,,,,,,,,,,RR,B,,,,RRR,,,,,,,,,,RR,,,,RR,,,,,,
15,,,F,F,F,F,F,F,F,F ,,,,,,,,,RR,,,,,,,,,,,,,F,,,,,,,,,,,,F,,RRR,,RRR,RR,RRR,RR,,,F,F,F,F,,,,,,p,,RRR,F,F,F,,F,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,,,,p,,,,RRR,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,F,F,F,,,,,,,,,,F,,RR,,,,,,,,F,F,F,F,,RR,,p,,,,,F,F,F,,F,F,F,,,p,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RR,C,,,,RRR,,,,p,,,,,,RR,,,,RR,,,,,,
17,,,,,,,,,,,,,,,,,,,RR,,,,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,F,,RRR,,,F,F,F,,,F,F,F,F,C,,,,,,,,F,F,F,,R,R,R,,,,,,,,,,,,,,,F,,,,F,,,,C,,,,RR,R,RRR,RR,RRR,,,,,,,,,RRR,RRR,,RRR,,,R,RRR,RR,,,,,,,,,,RRR,,,,RR,,,,,,
18,,,,F,F,F,F,RRR,RR,RRR,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,,RRR,RR,RRR,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,p,,,,,p,D,,X,,RR,,,,,,,,,,,,,,,RR,,RR,RR,RR,,,,,,
19,,,,F,F,F,F,RR,,,,,,,,,,,RR,,,,F,F,F,F,F,F,F,F,,,RR,,,,,,,,p,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,RRR,,,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,F,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,,,,,,,,,,,,,RRR,,,,,,,,
21,,,,,,,,RR,,,,,,,,,,,RR,,,,,,,,,,,,,,RR,,,,,,,,,,,F,,,RR,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,
22,,,,F,F,F,F,RRR,RR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,RRR,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
23,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,F,,F,RR,,F,F,F,,,F,F,F,F,,,,,,,,,F,F,F,,F,F,F,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,R,,,,,,,,,,,,,RR,,,,,,RRR,,,,,,,,,,,,RR,,,,,p,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RRR,,,,,,,F,F,F,F,,,,,,p,,RR,F,F,F,,F,F,F,RR,,p,,,R,R,RR,,,,,,,F,,,,F,,,,,,,,,,R,RRR,,,,,,,,,,,,RRR,,,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,RR,,p,,,,,F,F,F,,F,F,F,,,,,,,,RRR,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,RRR,,,,,,,,,,,,RR,,,,,,,,
26,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,F,F,F,F,,,,,,,,,F,F,F,,r,r,r,,,,,,,,,,,,,,,,,,,,,,,RR,RRR,RR,,,,,,,,,,,,,,,,,RRR,,,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
27,,,,F,F,F,F,,,,,,,,,,,,,,,,,p,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,RRR,,,,p,,,,,,,,RR,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,F,F,F,F,,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,R,RRR,RR,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,p,,,,,,F,,,,,RR,,,,,,,RR,,,,,F,,,,,,,,,,RRR,,,,F,F,F,,,F,F,F,F,,,,,,p,,RR,F,F,F,,F,,,F,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,p,,,,,p,,,,RR,,,,,,,,,,,,,,,,,,,RR,,,,,,,
30,,,,F,F,F,F,,,,,,,,,,,,,F,F,F,RRR,,,,,,,RRR,F,F,F,,,,,,,,,,C,,RR,F,,,F,F,F,,,F,F,F,F,,,RR,p,,,,,F,F,F,,F,,F,F,F,,,,,,,,,,,,,F,,,,F,,,,,,,,,R,RR,RRR,RRR,,,,,,,,,,,RRR,RR,R,,,,,,,,,,,,,,,,,RRR,,,,,RR,,
31,,,,F,F,F,F,,,,,,,,,,,F,,F,F,F,RR,,,,,,,RR,F,F,F,,F,,,,,,,,RR,RR,RR,F,,,,,,,,F,F,F,F,,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,RR,,
32,,,,,,,,,,,,,,,,,,F,,F,F,F,RRR,,,,,,,RRR,F,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,RRR,,,,,RR,,
33,,,,,,,,,,,,,,,,,,RRR,RRR,F,F,F,RR,,,,,,,RR,F,F,F,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,RRR,,,,,,,,,,,RR,,,,A,RRR,,,,,,,,,,,,,,RR,,,,RRR,RRR,,
34,,,,F,F,F,F,,,,,,,,,,,,,,,,RRR,,RRR,,,RRR,,RRR,,,,,F,,,,,,,,,,,,,,,,,,F,F,F,F,F,,F,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,RRR,,,,,,,
35,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,RR,,,  ,,,,F,B,RRR,C,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,RRR,,RR,,,,,,,,,,,,RR,,,,,,,,,,,,,RR,,,,,RRR,,,,,,,,,,,,,,RR,,,,,,,
36,,,,,,,,,,,,,,,,,,,RR,,,,,RRR,,,RR,,,,,,,,RR,,,,,,,,F,,,RRR,,,,,,,F,,,,F,,F,,,RR,,,,,,F,,,,,,,,,,,,,,,,,,,RRR,RRR,RR,,,,,,,,,,,,R,,,,,,,,,,,,,RRR,,,,C,RR,,,,,,,,,,,,,,RRR,,,,,,,
37,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,RRR,,,,,,,,,,,,,,,,,,,RR,,,,,,,F,RR,RRR,,F,,F,,RRR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,RR,,,,,RRR,,RR,,,,,,,,,,,,,,,,,,,
38,,,,F,F,F,F,,,,,,,,,p,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,RRR,, ,F,F,F,,F,,,,F,,F,,,RR,,,,,,,,p,,,,,,,,F,F,,F,F,F,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,RRR,,,,,RR,,X,,D,p,,,,RR,,,,,,,,,,,,
39,,,,F,F,F,F,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,F,RR,X,RR,F,,F,,,RRR,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,A,,,,,,RRR,,,,,RR,,,,,,,,,,,,,RR,,RR,,RR,RRR,,RRR,,,,,,,C,,,RRR,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,F,F,F,,F,,,,F,,F,,,RR,,,,,,F,,,,,,,,,,F,F,,F,F,F,,,,,C,,,,,,R,RR,RRR,,,R,RR,R,,,,p,,,,,p,,,,RRR,,,,,,,,,,,,,,,,,RR,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,p,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,RRR,,,,,,F,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,RRR,,,,,,,,,
42,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,B,F,F,F,,RRR,,,,,,F,,,,,,,F,F,F,,,,,,,,,,F,F,,F,F,F,,,,,RR,X,RR,,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,,,,,,,,,,,,RR,,,,,,p,,,
43,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,F,,RRR,D,,,,,,,,,,,,,,,,,,,,,,,,F,F,,RR,RRR,RR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,RRR,RR,RRR,F,F,F,,,,p,,,RRR,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,,,,,,,,,,,,RR,,,,,,,,,
45,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,p,,,,F,,,,,,,,p,,,,,,,,,,,RR,,RR,R,RR,,,RR,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,RRR,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,RR,R,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,F,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,D,,,,,,,,,,,,,,F,F,F,F,F,F,F,,,,RR,RR,,,,,,,,,,,,,,,,,,,,,,,D,,,,RR,,,,,RRR,,RR,,,,,,,,,,,,,RRR,,,,,RR,,,,,,,,,,RRR,,A,,,,,,,,,
48,,,F,,,C,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,,,,,RRR,,,,,RR,,RRR,,,,,,,,,,,,,RR,,,,,RRR,,,,,,,,,,RR,,B,,,,,,,,,
49,,,F,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,,,,F,F,F,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,,,,,RR,,,,,,,RR,,,,,,,,,,,,,,,,,,RR,,,,,p,,,,,RRR,,,,,,,,,,,
50,,,F,,RRR,RR,RRR,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,p,,,,,,,F,RR,,,,F,F,F,,,,,F,F,F,F,F,F,F,,p,,,,F,,,,,,,,,,F,F,RR,F,F,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,RRR,,,,,,,p,,,R,,,,,,,,,,,
51,,,F,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,RR,,,,p,,,,,p,,,,,,,,,RR,,,,,,,,,,RRR,,,,,,RR,,,,,
52,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,A,B,R,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,RR,,,,,,RRR,,,,,
53,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,RRR,,,,,,RR,,,,,
54,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,F,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,RRR,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,A,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,B,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe B,Safe B,Safe B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe C,Safe C,,Safe C,Safe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe A,Safe A,Safe A,Safe A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
