W,-2226,-2225,-2224,-2223,-2222,-2221,-2220,-2219,-2218,-2217,-2216,-2215,-2214,-2213,-2212,-2211,-2210,-2209,-2208,-2207,-2206,-2205,-2204,-2203,-2202,-2201,-2200,-2199,-2198,-2197,-2196,-2195,-2194,-2193,-2192,-2191,-2190,-2189,-2188,-2187,-2186,-2185,-2184,-2183,-2182,-2181,-2180,-2179,-2178,-2177,-2176,-2175,-2174,-2173,-2172,-2171,-2170,-2169,-2168,-2167,-2166,-2165,-2164,-2163,-2162,-2161,-2160,-2159,-2158,-2157,-2156,-2155,-2154,-2153,-2152,-2151,-2150,-2149,-2148,-2147,-2146,-2145,-2144,-2143,-2142,-2141,-2140,-2139,-2138,-2137,-2136,-2135,-2134,-2133,-2132,-2131,-2130,-2129,-2128,-2127,-2126,-2125,-2124,-2123,-2122,-2121,-2120,-2119,-2118,-2117,-2116,-2115,-2114,-2113,-2112,-2111,-2110,-2109,-2108,-2107,-2106,-2105,-2104,-2103,-2102,-2101,-2100,-2099,-2098,-2097,-2096,-2095,-2094,-2093,-2092,-2091,-2090,-2089,-2088,-2087
0,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,B8,B8,B8,W,B9,B9,B9,B9,B9,B9,W,,,,,,W,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
1,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,B8,B8,B8,W,B9,B9,B9,B9,B9,B9,W,,,,,,W,C8,C8,C8,C8,C8,C8,C8,C8,C8,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W
2,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,B8,B8,B8,W,B9,B9,B9,B9,B9,B9,W,,,,,,W,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,,,,W
3,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,B8,W,B8,W,B9,B9,B9,B9,W,W,W,,,,,,W,C8,C8,C8,C8,C8,C8,C8,C8,C8,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
4,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,W,W,B8,W,B9,B9,B9,W,W,W,W,,,,,,W,W,W,W,W,C8,C8,C8,C8,C8,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
5,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,A4,W,B8,B8,B8,B8,B8,W,W,B8,W,B9,B9,B9,B9,B9,B9,B9,,,,,,C8,C8,C8,C8,C8,C8,C8,C8,C8,C8,W,W,E4,E4,E4,E4,W,E5,E5,E5,E5,W,F4,F4,F4,F4,F4,W,,,,,,,,,W,,,,,,W,H2,H2,H2,H2,H2,H2,H2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
6,,W,A4,A4,A4,A4,A4,A4,A4,A4,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,B8,W,W,W,W,W,W,W,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,E4,E4,E4,E4,W,E5,E5,E5,E5,W,F4,F4,F4,F4,F4,W,,,,,,,,,W,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,M3,,,,W
7,,W,A4,A4,A4,A4,A4,A4,A4,A4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C7,C7,C7,C7,C7,C7,C7,C7,C7,W,W,E4,E4,E4,E4,W,E5,E5,E5,E5,W,F4,F4,F4,F4,F4,W,,,,,,,,,,,,,,,W,W,W,H2,H2,H2,H2,H2,W,,,,,,,,,,,,W,,,,,,,W,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
8,,W,A4,A4,A4,A4,A4,A4,A4,A4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C7,C7,C7,C7,C7,C7,C7,C7,C7,W,W,E4,E4,E4,E4,W,E5,E5,E5,E5,W,F4,F4,F4,F4,F4,W,W,W,W,W,W,,,,,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,,,,,,,,,,,,W,,,,,,,W,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
9,,W,A4,A4,A4,A4,A4,A4,A4,A4,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C7,C7,C7,C7,C7,C7,C7,C7,C7,W,W,W,W,E4,W,W,W,W,E5,W,W,F4,F4,F4,F4,F4,W,G3,G3,G3,G3,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,,,,,,,,,,,,W,,,,,,,W,,,,,,,,,,,,,,,,W,M3,M3,M3,M3,M3,M3,M3,M3,W,,,,W
10,,W,A4,A4,A4,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C7,C7,C7,C7,C7,C7,C7,C7,C7,W,W,,,,,,,,,,W,F4,F4,F4,F4,F4,W,G3,G3,G3,G3,G3,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
11,,W,A4,A4,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,C7,C7,C7,C7,C7,W,W,,,,,,,,,,,F4,F4,F4,F4,F4,W,G3,G3,G3,G3,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
12,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,,,,,,W,B7,B7,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,C7,C7,C7,C7,C7,C7,C7,C7,C7,C7,W,W,,,,,,,,,,,W,F4,F4,F4,F4,W,G3,G3,G3,G3,W,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
13,,W,A4,A4,A4,A4,A4,A4,A4,A4,A4,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
14,,W,W,W,W,W,W,W,W,W,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,C6,C6,C6,C6,C6,C6,C6,C6,C6,W,W,E3,E3,E3,E3,E3,E3,W,,,,W,F3,F3,F3,F3,W,G2,G2,G2,G2,W,,,,,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
15,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,C6,C6,C6,C6,C6,C6,C6,C6,C6,W,W,E3,E3,E3,E3,E3,E3,W,,,,F3,F3,F3,F3,F3,W,G2,G2,G2,G2,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,I4A,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
16,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,C6,C6,C6,C6,C6,C6,C6,C6,C6,W,W,E3,E3,E3,E3,E3,E3,E3,,,,W,F3,F3,F3,F3,W,G2,G2,G2,G2,G2,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,K4,K4,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
17,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,C6,C6,C6,C6,C6,C6,C6,C6,C6,W,W,E3,E3,E3,E3,E3,E3,W,,,,W,F3,F3,F3,F3,W,G2,G2,G2,G2,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
18,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,W,W,W,W,C6,C6,C6,C6,C6,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,I4,,,,,,,J4,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,L3,L3,L3,L3,L3,L3,L3,L3,W,,,,W
19,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,C6,C6,C6,C6,C6,C6,C6,C6,C6,C6,W,W,,,,,,,,,,,,,,,,,,,,,,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
20,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,W,I4A,I4A,I4A,I4A,W,I4,I4,I4,I4,I4,W,,,,,,,W,J4,J4,J4,J4,J4,W,K4,K4,K4,K4,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
21,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,W,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,B7,W,,,,,,W,C5,C5,C5,C5,C5,C5,C5,C5,C5,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
22,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,B7,B7,W,,,,,,W,C5,C5,C5,C5,C5,C5,C5,C5,C5,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,W,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
23,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C5,C5,C5,C5,C5,C5,C5,C5,C5,W,W,E2,E2,E2,E2,E2,E2,W,,,,W,F2,F2,F2,F2,W,G1,G1,G1,G1,W,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,M2,,,,W
24,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,C5,C5,C5,C5,C5,C5,C5,C5,C5,W,W,E2,E2,E2,E2,E2,E2,W,,,,F2,F2,F2,F2,F2,W,G1,G1,G1,G1,G1,,,,,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
25,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,C5,C5,C5,C5,C5,W,W,E2,E2,E2,E2,E2,E2,E2,,,,W,F2,F2,F2,F2,W,G1,G1,G1,G1,W,,,,W,,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
26,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C5,C5,C5,C5,C5,C5,C5,C5,C5,C5,W,W,E2,E2,E2,E2,E2,E2,W,,,,W,F2,F2,F2,F2,W,G1,G1,G1,G1,W,,,,W,,,,,,H2,H2,H2,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
27,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,W,W,W,W,W,W,W,W,W,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,I3A,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,K3,K3,,,,W,M2,M2,M2,M2,M2,M2,M2,M2,W,,,,W
28,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,W,W,W,W,W,W,B5,B5,W,W,B6,B6,W,W,W,W,W,W,W,,,,,,W,C4,C4,C4,C4,C4,C4,C4,C4,C4,W,W,E1,E1,E1,E1,E1,E1,W,,,,W,F1,F1,F1,F1,W,,,,,,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,W,W,W,W,W,W,W,W,W,,,,W
29,,W,A3,A3,A3,A3,A3,A3,A3,A3,A3,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,W,C4,C4,C4,C4,C4,C4,C4,C4,C4,W,W,E1,E1,E1,E1,E1,E1,W,,,,F1,F1,F1,F1,F1,W,,,,,,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,I3,,,,,,,J3,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
30,,W,A3,A3,A3,A3,A3,A3,A3,A3,W,,,,,,W,B5,B5,B5,B5,B5,B5,B5,B5,W,W,B6,B6,B6,B6,B6,B6,B6,B6,W,,,,,,W,C4,C4,C4,C4,C4,C4,C4,C4,C4,W,W,E1,E1,E1,E1,E1,E1,E1,,,,W,F1,F1,F1,F1,W,,,,,,,,,W,W,,,,,W,H2,W,H2,H2,H2,H2,H2,W,W,I3A,I3A,I3A,I3A,W,I3,I3,I3,I3,I3,W,,,,,,,W,J3,J3,J3,J3,J3,W,K3,K3,K3,K3,W,W,,,,W,L2,L2,L2,L2,L2,L2,L2,L2,W,,,,W
