,-2226,-2225,-2224,-2223,-2222,-2221,-2220,-2219,-2218,-2217,-2216,-2215,-2214,-2213,-2212,-2211,-2210,-2209,-2208,-2207,-2206,-2205,-2204,-2203,-2202,-2201,-2200,-2199,-2198,-2197,-2196,-2195,-2194,-2193,-2192,-2191,-2190,-2189,-2188,-2187,-2186,-2185,-2184,-2183,-2182,-2181,-2180,-2179,-2178,-2177,-2176,-2175,-2174,-2173,-2172,-2171,-2170,-2169,-2168,-2167,-2166,-2165,-2164,-2163,-2162,-2161,-2160,-2159,-2158,-2157,-2156,-2155,-2154,-2153,-2152,-2151,-2150,-2149,-2148,-2147,-2146,-2145,-2144,-2143,-2142,-2141,-2140,-2139,-2138,-2137,-2136,-2135,-2134,-2133,-2132,-2131,-2130,-2129,-2128,-2127,-2126,-2125,-2124,-2123,-2122,-2121,-2120,-2119,-2118,-2117,-2116,-2115,-2114,-2113,-2112,-2111,-2110,-2109,-2108,-2107,-2106,-2105,-2104,-2103,-2102,-2101,-2100,-2099,-2098,-2097,-2096,-2095,-2094,-2093,-2092,-2091,-2090,-2089,-2088,-2087
14,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,F,,,,,,,,,,,,,A,,RR,,,,,,,F,F,F,F,RR,RR,,,,,,,F,F,F,,F,F,F,,,,,,,,,,,,,,,,,,,F,,,,,RR,,,,,,,,,,,,,,,,,,,RR,,,RRR,RR,RRR,RR,,,,,,,,,RR,,C,,RR,,,,,,
15,,,F,F,F,F,F,F,F,F ,,,,,,,,,RR,,,,,,,,,,,,,F,,,,,,,,,,,,F,,,X,,,,,,,F,F,F,F,,,,,,p,,RRR,F,F,F,,F,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,p,D,,,RRR,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,F,F,F,,,,,,,,,,F,C,,RR,,,,,,,F,F,F,F,,RR,,p,,,,,F,F,F,,F,F,F,,,p,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,p,,,,,,RR,,,,RR,,,,,,
17,,,,,,,,,,,,,,,,,,,RR,,,,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,F,,,RRR,,F,F,F,,,F,F,F,F,,,,,,,,,F,F,F,,R,R,R,,,,,,,,,,,,,,,F,,,,F,,,,,,,,RR,,RRR,RR,RRR,,,,,,,,,RRR,RRR,,RRR,,,,,,,,,,,,,,,RRR,,,,RR,,,,,,
18,,,,F,F,F,F,RRR,RR,RRR,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,,RRR,RR,RRR,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,p,,,,,p,,,,,RR,,,,,,,,,,,,,,,RR,,RR,RR,RR,,,,,,
19,,,,F,F,F,F,RR,A,C,,,,,,,,,RR,,,,F,F,F,F,F,F,F,F,,,RR,,,,,,,,p,D,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,RRR,,,,,,,,,,,RRR,,,,F,F,F,F,F,F,F,F,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,F,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,,,,,,,,,,,,,RRR,,,,,,,,
21,,,,,,,,RR,,,,,,,,,,,RR,,,,,,,,,,,,,,RR,,,,,,,,,,,F,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,
22,,,,F,F,F,F,RRR,X,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,B,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
23,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,F,,F,,,F,F,F,,,F,F,F,F,,,,,,,,,F,F,F,,F,F,F,,,,,,,,,,,,,,,F,,,,F,,,,C,,,,,,R,,,,,,,,,,,,,RR,,,,,,RRR,,,,,,,,,,,,RR,,,,,p,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,F,F,F,,,,,,p,,RR,F,F,F,,F,F,F,RR,,p,,,R,R,RR,,,,,,,F,,,,F,,,,,,,,,,R,RRR,,,,,,,,,,,,RRR,,,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,F,F,F,F,,RR,,p,,,,C,F,F,F,,F,F,F,,,,,,,,RRR,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,RRR,,,,,,,,,,,,RR,,,,,,,,
26,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,RRR,,,,,F,F,F,F,,,,,,,,,F,F,F,,r,r,r,,,,,,,,,,,,,,,,,,,,,,,RR,RRR,RR,,,,,,,,,,,,,,,,,RRR,,,,,,RR,,,,,,,,,,,,RRR,,,,,,,,
27,,,,F,F,F,F,,,,,,,,,,,,,,,,,p,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,X,,,,,,,,,,,,,,,,,RR,,,,,,RRR,,,,p,,,,,,,,RR,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,RR,,,,,,,,,,,,,,,,,,,,F,F,F,,,F,F,F,F,,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,R,RRR,RR,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,D,p,,,,,,F,,,,,RR,,,,,,,,,,,,F,,,,,,,,,,RRR,,,,F,F,F,,,F,F,F,F,,,,,,p,,RR,F,F,F,,F,,,F,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,D,,p,,,,,p,,,,RR,,,,,,,,,,,,,,,,,,,RR,,,,,,,
30,,,,F,F,F,F,,,,,,,,,,,,,F,F,F,RRR,,,,,,,,F,F,F,,,,,,,,,,,,RR,F,,,F,F,F,,,F,F,F,F,,,RR,p,,,,,F,F,F,,F,,F,F,F,,,,,,,,,,,,,F,,,,F,,,,,,,,,R,RR,RRR,RRR,,,,,,,,,,,RRR,RR,R,,,,,,,,,,,,,,,,,RRR,,,,,RR,,
31,,,,F,F,F,F,,,,,,,,,,,F,,F,F,F,RR,,,,,,,,F,F,F,,F,,,,,,,,RR,RR,RR,F,,,,,,,,F,F,F,F,,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,RR,,
32,,,,,,,,,,,,,,,,,,F,,F,F,F,RRR,,,,,,,,F,F,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,RRR,,,,,RR,,
33,,,,,,,,,,,,,,,,,,RRR,RRR,F,F,F,RR,,,,,C,C,C,F,F,F,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,RRR,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,RR,,,,RRR,RRR,,
34,,,,F,F,F,F,,,,,,,,,,,,,,,,RRR,,RRR,,,RRR,,,,,,,F,,,,,,,,,,,,,,,,,,F,F,F,F,F,,F,,,,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,RRR,,,,,,,
35,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,C,B,RR,,,  ,,,,F,,RRR,,F,,,,,RRR,,,,,,F,,,,,,,,,,,,,,,,,,,RRR,,RR,,,,,,,,,,,,RR,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,RR,,,,,,,
36,,,,,,,,,,,,,,,,,,,RR,C,,,,RRR,,,RR,,,,,,,,,,,,,,,,F,,,RRR,,,,,,,F,,,,F,,F,B,,RR,,,,,,F,,,,,,,,,,,,,,,,,,,RRR,RRR,RR,,,,,,,,,,,,R,,,,,,,,,,,,,RRR,RR,RRR,,,,,,,,,,,,,,,,,RRR,,,,,,,
37,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,RRR,,F,,F,C,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,F,F,F,F,,,,,,,,,p,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,, ,F,F,F,,F,,,,F,,F,,,X,,,,,,,D,,,,,,,,,F,F,,F,F,F,A,B,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,p,,,,RR,,,,,,,,,,,,
39,,,,F,F,F,F,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,F,RR,,RR,F,,F,,,RRR,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,C,,RRR,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,D,,,,X,,,F,F,F,,F,,,,F,,F,,,RR,,,,,,F,,,,,,,,,,F,F,,F,F,F,,,,,,,,,,,R,RR,RRR,,,,,,,,,p,,,,,p,,,,,,,,RRR,RR,RRR,RR,,,,,,,RR,RRR,RR,RRR,RR,RRR,RR,RRR,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,p,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,RRR,,,,,,F,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,RRR,,,,,,F,,,RR,,,,F,F,F,,,,,,,,,,F,F,,F,F,F,,,,,RR,,RR,,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,p,,,
43,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,F,,RRR,,,,,,,,,,D,D,,,,,,,,,,,,,,F,F,,RR,RRR,RR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,RRR,RR,RRR,F,F,F,,,,p,,,RRR,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,,,,,,,,,F,F,F,F,F,,A,RRR,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,D,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,p,,,RR,F,,,,,,,,p,,,,,,,,,,,RR,,,,RR,,,RR,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,RR,,,,,,,,,,,,,,,RR,A,B,,,RRR,,,,,,,,,,,,,,,,,,,,,
47,,,F,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,F,F,F,F,F,F,F,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,RRR,,RR,,,,,,,,,,,,,RRR,,,,C,RR,,,,,,,,,,RRR,,,,,,,,,,,
48,,,F,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,R,,,,,,,,,,F,F,,F,F,,,,,,,,,,,,RRR,,,,,RR,,RRR,,,,,,,,,,,,,RR,,,,,RRR,,RR,,,,,,,,RR,,,,,,,,,,,
49,,,F,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RR,,,,F,F,F,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,F,F,,F,F,,,,,,,,,,,,RR,,,,,,,RR,,,,,,,,,,,,,,,,,,RR,,X,,D,p,,,,,RRR,,,,,,,,,,,
50,,,F,,,,,,,,,,,,,p,,,,,,,,,,,A,B,,,,,,,,,p,,,,,,,F,RR,,,,F,F,F,,,,,F,F,F,F,F,F,F,,p,,,,F,,,,,,,,,,F,F,RR,F,F,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,RR,RRR,,RRR,,,,,p,,,R,,,,,,,,,,,
51,,,F,,,,,RRR,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,RR,,,,p,,,,,p,,,,,,,,,,,,,,,,,,,RRR,,,,,,RR,,,,,
52,,,F,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,F,,,,,,R,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,RRR,,,,,
53,,,F,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,F,F,RR,F,F,,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,,,,,RR,,,,,
54,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,F,,,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,RRR,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,RR,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe B,Safe B,Safe B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe C,Safe C,,Safe C,Safe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe A,Safe A,Safe A,Safe A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
